Player Name,Club,League,Nationality,Age,Height (cm),Weight (Kg)
Tomasz Loska,Górnik Zabrze,Ekstraklasa,Poland,22,189,79
Adam El-Abd,Wycombe Wanderers,EFL League One,Egypt,34,180,88
Brennan Dickenson,Colchester United,EFL League Two,England,25,183,81
Adaílton dos Santos da Silva,Júbilo Iwata,Meiji Yasuda J1 League,Brazil,27,176,83
Taishi Taguchi,Júbilo Iwata,Meiji Yasuda J1 League,Japan,27,176,70
Manfred Starke,FC Carl Zeiss Jena,3. Liga,Namibia,27,179,81
John Welsh,Grimsby Town,EFL League Two,England,34,170,73
Craig Morgan,Fleetwood Town,EFL League One,Wales,33,187,89
Ched Evans,Fleetwood Town,EFL League One,Wales,29,183,76
Richard Tait,Motherwell,Scottish Premiership,Scotland,28,179,77
Neal Eardley,Lincoln City,EFL League Two,Wales,29,180,74
Patrick McEleney,Dundalk,SSE Airtricity League,Northern Ireland,26,180,84
Chris Shields,Dundalk,SSE Airtricity League,Republic of Ireland,27,186,78
Patrick Hoban,Dundalk,SSE Airtricity League,Republic of Ireland,27,180,84
Mateusz Szwoch,Wis?a P?ock,Ekstraklasa,Poland,25,173,60
Tommy Naurin,GIF Sundsvall,Allsvenskan,Sweden,34,187,86
Jimmy Ryan,Blackpool,EFL League One,Republic of Ireland,30,180,67
Jay Spearing,Blackpool,EFL League One,England,29,168,70
Liam Feeney,Blackpool,EFL League One,England,31,183,76
Shaun Whalley,Shrewsbury,EFL League One,England,31,176,67
Shane Supple,Bohemian FC,SSE Airtricity League,Republic of Ireland,31,183,76
Billy Kee,Accrington Stanley,EFL League One,Northern Ireland,27,175,72
Sebastián Jaime,Unión Española,Campeonato Scotiabank,Argentina,31,179,71
Jorge Ampuero,Unión Española,Campeonato Scotiabank,Chile,31,183,82
Diego Sánchez,Unión Española,Campeonato Scotiabank,Chile,31,184,86
Fabián Manzano,CD Palestino,Campeonato Scotiabank,Chile,24,173,71
José Luis Muñoz,CD Palestino,Campeonato Scotiabank,Chile,31,178,72
Miguel Pinto,CD O'Higgins,Campeonato Scotiabank,Chile,35,183,79
Roberto Cereceda,CD O'Higgins,Campeonato Scotiabank,Chile,33,173,73
Bastián San Juan,CD O'Higgins,Campeonato Scotiabank,Chile,24,177,76
Juan Carlos Espinoza,CD O'Higgins,Campeonato Scotiabank,Chile,27,170,77
Dan Peter Ulvestad,Kristiansund BK,Eliteserien,Norway,29,189,84
Camilo Rodríguez,CD Everton de Viña del Mar,Campeonato Scotiabank,Chile,23,170,66
Daniel Rodríguez Vázquez,RCD Mallorca,LaLiga 1 I 2 I 3,Spain,30,177,71
Daniel Provencio Azcune,Elche CF,LaLiga 1 I 2 I 3,Spain,30,178,75
Jacob Schoop,Vejle Boldklub,Superliga,Denmark,29,176,72
Dylan De Belder,KSV Cercle Brugge,Belgium Pro League,Belgium,26,182,72
Andrea Gasbarro,Livorno,Calcio B,Italy,23,182,72
Patrik Eler,FC Wacker Innsbruck,Österreichische Fußball-Bundesliga,Slovenia,27,185,73
Zlatko Dedic,FC Wacker Innsbruck,Österreichische Fußball-Bundesliga,Slovenia,34,183,77
Luciano Slagveer,FC Emmen,Eredivisie,Holland,25,178,74
Gökhan Akkan,Çaykur Rizespor,Süper Lig,Turkey,23,186,80
Luca Belingheri,Padova,Calcio B,Italy,35,182,70
Samba Diakité,Red Star FC,Dominos Ligue 2,Mali,29,186,80
Javier Parraguez,CD Huachipato,Campeonato Scotiabank,Chile,28,183,86
José Bizama,CD Huachipato,Campeonato Scotiabank,Chile,24,178,75
Young Cheol Jo,GyeongNam FC,K LEAGUE Classic,Korea Republic,29,181,83
Emiliano Purita,San Martín de Tucumán,SAF,Argentina,21,179,69
Tenglong Lei,Beijing Guoan,CSL,China PR,27,183,75
Juan Camilo Vela,Boyacá Chicó FC,Liga Dimayor,Colombia,25,174,69
Xi Wu,Jiangsu Suning FC,CSL,China PR,29,180,75
Xiaofei Deng,Chongqing Lifan FC,CSL,China PR,35,186,80
Sheng Qin,Dalian Yifang FC,CSL,China PR,31,183,76
Jairo Morillas Rivero,V-Varen Nagasaki,Meiji Yasuda J1 League,Spain,25,185,78
Zhi Xiao,Guangzhou R&F FC,CSL,China PR,33,187,80
Mladen Bartulovic,Mied? Legnica,Ekstraklasa,Croatia,32,182,82
Esteban Carvajal,Deportes Iquique,Campeonato Scotiabank,Chile,29,172,67
Juan Pablo Miño,Deportes Iquique,Campeonato Scotiabank,Argentina,31,181,83
Leonardo Rolón,Deportes Iquique,Campeonato Scotiabank,Argentina,23,171,70
Rodrigo Naranjo,Deportes Iquique,Campeonato Scotiabank,Chile,39,192,86
Bruno Romo,CD Antofagasta,Campeonato Scotiabank,Chile,29,186,86
Tomás Asta-Buruaga,CD Antofagasta,Campeonato Scotiabank,Chile,21,185,70
Gonzalo Villagra,CD Antofagasta,Campeonato Scotiabank,Chile,37,174,67
Jean Paul Pineda,CD Universidad de Concepción,Campeonato Scotiabank,Chile,29,177,74
Fernando Saavedra,Unión La Calera,Campeonato Scotiabank,Chile,32,176,72
Lie Zhang,Beijing Renhe,CSL,China PR,36,190,85
Angel Rodriguez,Unión La Calera,Campeonato Scotiabank,Uruguay,25,176,72
Ayub Timbe Masika,Beijing Renhe,CSL,Kenya,26,170,60
Diego Díaz,Curicó Unido,Campeonato Scotiabank,Chile,32,179,73
Daniel Vicencio,San Luis de Quillota,Campeonato Scotiabank,Chile,26,178,80
Andrés Robles,San Luis de Quillota,Campeonato Scotiabank,Chile,24,182,79
Matías Donoso,Club Deportes Temuco,Campeonato Scotiabank,Chile,32,185,87
Iminjan Ilhamjan,Guizhou Hengfeng FC,CSL,China PR,32,175,70
Hang Ren,Hebei China Fortune FC,CSL,China PR,29,185,77
Ke Sun,Tianjin Quanjian FC,CSL,China PR,29,180,70
Cheng Yang,Hebei China Fortune FC,CSL,China PR,32,188,78
Lu Zhang,Tianjin Quanjian FC,CSL,China PR,31,192,85
Mingjian Zhao,Hebei China Fortune FC,CSL,China PR,30,183,75
Yongpo Wang,Tianjin Quanjian FC,CSL,China PR,31,178,71
Kaoru Takayama,Shonan Bellmare,Meiji Yasuda J1 League,Japan,30,174,67
Mihael Mikic,Shonan Bellmare,Meiji Yasuda J1 League,Croatia,38,177,68
Malik Asselah,Al-Hazem FC,Saudi Professional League,Algeria,32,193,90
André Luiz Bahia dos Santos,Shonan Bellmare,Meiji Yasuda J1 League,Brazil,34,182,85
Fagner Ironi Daponte,Al-Hazem FC,Saudi Professional League,Brazil,27,185,83
Sascha Mölders,TSV 1860 München,3. Liga,Germany,33,187,82
Stefan Lex,TSV 1860 München,3. Liga,Germany,28,178,74
Quirin Moll,TSV 1860 München,3. Liga,Germany,27,182,77
Rui Yu,Changchun Yatai FC,CSL,China PR,26,185,76
Shenchao Wang,Shanghai SIPG FC,CSL,China PR,29,180,72
Guan He,Shanghai SIPG FC,CSL,China PR,25,181,79
Carlos Castro García,RCD Mallorca,LaLiga 1 I 2 I 3,Spain,23,176,68
Damjan Bohar,Zag??bie Lubin,Ekstraklasa,Slovenia,26,172,69
Sergio Akieme Rodríguez,Rayo Vallecano,LaLiga Santander,Spain,20,175,65
Raúl Gudiño,Guadalajara,LIGA Bancomer MX,Mexico,22,195,84
Sergio Henrique Santos Gomes,Audax Italiano,Campeonato Scotiabank,Brazil,24,180,77
Braian Romero,Independiente,SAF,Argentina,27,175,70
Ramón Arias,Ettifaq FC,Saudi Professional League,Uruguay,26,180,72
Zhongguo Chi,Beijing Guoan,CSL,China PR,28,174,65
Matías Campos López,CD Palestino,Campeonato Scotiabank,Chile,25,178,75
Youssef El Jebli,De Graafschap,Eredivisie,Holland,25,177,74
Luca Clemenza,Padova,Calcio B,Italy,21,175,77
Iván Ochoa,CD Everton de Viña del Mar,Campeonato Scotiabank,Mexico,22,182,72
Lautaro Comas,Patronato,SAF,Argentina,23,172,67
Asavela Mbekile,Orlando Pirates,South African FL,South Africa,31,172,72
Jorge Sánchez,Club América,LIGA Bancomer MX,Mexico,20,175,71
Sofiane Alakouch,Nîmes Olympique,Ligue 1 Conforama,France,20,175,66
Ícaro do Carmo Silva,Tondela,Liga NOS,Brazil,29,181,74
Gustavo Hamer,PEC Zwolle,Eredivisie,Holland,21,168,61
Luan Peres Petroni,Club Brugge KV,Belgium Pro League,Brazil,24,190,79
Ferdi Kadioglu,Fenerbahçe SK,Süper Lig,Holland,18,173,64
Cédric Kipré,Wigan Athletic,EFL Championship,France,21,193,95
Sebastian Szyma?ski,Legia Warszawa,Ekstraklasa,Poland,19,174,58
Ray Sandoval,Monarcas Morelia,LIGA Bancomer MX,Peru,23,171,72
Mattéo Guendouzi,Arsenal,Premier League,France,19,180,68
Habib Maïga,Football Club de Metz,Dominos Ligue 2,Côte d'Ivoire,22,181,80
Anders Dreyer,Brighton & Hove Albion,Premier League,Denmark,20,172,70
Ki Wook Hwang,FC Seoul,K LEAGUE Classic,Korea Republic,22,185,77
Dimitris Nikolaou,Olympiacos CFP,Hellas Liga,Greece,20,189,78
Alessandro Bastoni,Parma,Serie A TIM,Italy,19,190,75
Rafael Broetto Henrique,CS Marítimo,Liga NOS,Brazil,28,195,87
Lorenco imi?,SPAL,Serie A TIM,Croatia,22,195,89
Beni Baningime,Everton,Premier League,Congo DR,20,178,70
Gary Tello,Unión Española,Campeonato Scotiabank,Chile,25,169,65
Pietro Pellegri,AS Monaco Football Club SA,Ligue 1 Conforama,Italy,17,188,80
Daniel Ojeda Saranova,CD Leganés,LaLiga Santander,Spain,23,180,75
Nemanja Mitrovi?,Jagiellonia Bia?ystok,Ekstraklasa,Slovenia,25,193,88
Ángelo Pizzorno,Unión Española,Campeonato Scotiabank,Uruguay,25,185,82
Abel Ruiz Ortega,FC Barcelona,LaLiga Santander,Spain,18,182,76
Abenego Tembeng,Tondela,Liga NOS,Cameroon,27,189,85
?ukasz Wolszty?ski,Górnik Zabrze,Ekstraklasa,Poland,23,183,73
David Batanero Puigbó,GIF Sundsvall,Allsvenskan,Spain,30,185,80
Torgil Gjertsen,Kristiansund BK,Eliteserien,Norway,26,175,74
Matheus Santos Carneiro Da Cunha,RB Leipzig,Bundesliga,Brazil,19,184,75
Dejan Ljubicic,SK Rapid Wien,Österreichische Fußball-Bundesliga,Austria,20,186,74
Souleymane Diarra,Racing Club de Lens,Dominos Ligue 2,Mali,23,173,62
Ignatius Ganago,OGC Nice,Ligue 1 Conforama,Cameroon,19,176,78
Jamilu Collins,SC Paderborn 07,Bundesliga 2,Nigeria,24,183,76
Cristian Rivero Sabater,Valencia CF,LaLiga Santander,Spain,20,188,75
Justin Shonga,Orlando Pirates,South African FL,Zambia,21,178,70
Eljif Elmas,Fenerbahçe SK,Süper Lig,FYR Macedonia,19,184,74
Santy Ngom,FC Nantes,Ligue 1 Conforama,Senegal,25,181,85
Cory Burke,Philadelphia Union,Major League Soccer,Jamaica,26,191,82
Yuta Toyokawa,KAS Eupen,Belgium Pro League,Japan,24,171,64
Jean-Claude Billong,Benevento,Calcio B,France,24,192,88
Xola Mlambo,Orlando Pirates,South African FL,South Africa,27,170,70
Ond?ej Mihálik,AZ,Eredivisie,Czech Republic,21,188,71
Florian Valot,New York Red Bulls,Major League Soccer,France,25,175,75
Sebastiaan Bornauw,RSC Anderlecht,Belgium Pro League,Belgium,19,188,88
Koki Anzai,Kashima Antlers,Meiji Yasuda J1 League,Japan,23,172,64
Fabian Serrarens,De Graafschap,Eredivisie,Holland,27,188,83
Luka Adi?,RSC Anderlecht,Belgium Pro League,Serbia,20,184,78
Silvester van der Water,Heracles Almelo,Eredivisie,Holland,22,181,70
Luka Ili?,NAC Breda,Eredivisie,Serbia,19,182,73
Luka Menalo,GNK Dinamo Zagreb,Liga Hrvatska,Bosnia and Herzegovina,22,181,73
Ivan unji?,GNK Dinamo Zagreb,Liga Hrvatska,Croatia,21,184,75
Adrian emper,Chievo Verona,Serie A TIM,Croatia,20,194,91
Rafael van der Vaart,Esbjerg fB,Superliga,Holland,35,176,74
Håkon Opdal,IK Start,Eliteserien,Norway,36,188,92
Nicolas Douchez,Red Star FC,Dominos Ligue 2,France,38,185,85
Keiji Tamada,Nagoya Grampus,Meiji Yasuda J1 League,Japan,38,173,67
Charles-André Doudin,Neuchâtel Xamax,Raiffeisen Super League,Switzerland,32,184,80
Pierre Gibaud,Grenoble Foot 38,Dominos Ligue 2,France,30,184,80
Manuel Konrad,KFC Uerdingen 05,3. Liga,Germany,30,187,88
Zhi Yang,Beijing Guoan,CSL,China PR,35,186,79
Long Zheng,Guangzhou Evergrande Taobao,CSL,China PR,30,178,70
Christopher Schorch,KFC Uerdingen 05,3. Liga,Germany,29,189,80
Héctor Verdés Ortega,Rayo Majadahonda,LaLiga 1 I 2 I 3,Spain,34,185,80
Stef Nijland,De Graafschap,Eredivisie,Holland,30,187,81
Mauro Vigorito,Lecce,Calcio B,Italy,28,187,79
Cao Gu,Henan Jianye FC,CSL,China PR,30,183,75
Miguel Jiménez,Guadalajara,LIGA Bancomer MX,Mexico,28,182,79
Muris Meanovi?,Slavia Praha,?eská Liga,Bosnia and Herzegovina,28,177,75
José Baxter,Oldham Athletic,EFL League Two,England,26,179,74
Joel Ekstrand,AIK,Allsvenskan,Sweden,29,188,77
Ryan McGowan,Bradford City,EFL League One,Australia,29,191,78
Mads Reginiussen,Ranheim Fotball,Eliteserien,Norway,30,175,70
Juan José Ciércoles Sagra,GIF Sundsvall,Allsvenskan,Spain,30,176,67
Yang Yu,Beijing Guoan,CSL,China PR,29,183,72
Zheng Zheng,Shandong Luneng Taishan,CSL,China PR,29,183,75
Mirko Carretta,Cremona,Calcio B,Italy,27,178,75
Teerasil Dangda,Sanfrecce Hiroshima,Meiji Yasuda J1 League,Thailand,30,181,71
Riccardo Bocalon,Salerno,Calcio B,Italy,29,186,76
Ivan Yagan,KAS Eupen,Belgium Pro League,Armenia,28,176,74
Joachim Van Damme,Waasland-Beveren,Belgium Pro League,Belgium,27,193,98
Joon Jae Nam,Incheon United FC,K LEAGUE Classic,Korea Republic,30,182,75
Cosimo Chiricò,Lecce,Calcio B,Italy,27,169,72
Kai Heerings,Fortuna Sittard,Eredivisie,Holland,28,191,81
Sergio Blázquez Sánchez,Elche CF,LaLiga 1 I 2 I 3,Spain,28,175,72
David Fällman,Hammarby IF,Allsvenskan,Sweden,28,187,84
Martin Bjørnbak,FK Bodø/Glimt,Eliteserien,Norway,26,193,90
Mart Lieder,SønderjyskE,Superliga,Holland,28,188,85
Eugeni Valderrama Domènech,Albacete Bpie,LaLiga 1 I 2 I 3,Spain,24,184,75
Sven Nieuwpoort,De Graafschap,Eredivisie,Holland,25,180,72
Éverton Luiz Guimarães Bilher,SPAL,Serie A TIM,Brazil,30,173,70
Matti Steinmann,Hamburger SV,Bundesliga 2,Germany,23,189,79
Melker Hallberg,Vejle Boldklub,Superliga,Sweden,22,180,69
Rafael Berger,Pohang Steelers,K LEAGUE Classic,Brazil,32,180,75
Nicolai Brock-Madsen,St. Mirren,Scottish Premiership,Denmark,25,190,80
Jérôme Mombris,Grenoble Foot 38,Dominos Ligue 2,Madagascar,30,187,68
Osvaldo Bosso,Audax Italiano,Campeonato Scotiabank,Chile,24,167,69
Jefferson Mena,Club Atlético Aldosivi,SAF,Colombia,29,183,79
Dilan Zúñiga,CD Everton de Viña del Mar,Campeonato Scotiabank,Chile,22,170,73
Leonardo Povea,CD Huachipato,Campeonato Scotiabank,Chile,24,176,73
Bruno Vides,Club Atlético Lanús,SAF,Argentina,25,178,73
Diego Rojas,Universidad Católica,Campeonato Scotiabank,Chile,23,164,52
Francisco Varela Martín,Rayo Majadahonda,LaLiga 1 I 2 I 3,Spain,23,174,68
Facundo Castillón,Club Atlético Aldosivi,SAF,Argentina,33,173,71
Erik Bakker,De Graafschap,Eredivisie,Holland,28,178,77
Héctor Berríos,CD Universidad de Concepción,Campeonato Scotiabank,Chile,31,174,67
Fakhereedine Ben Youssef,Ettifaq FC,Saudi Professional League,Tunisia,27,190,86
Aboubakar Oumarou,Al Qadisiyah,Saudi Professional League,Cameroon,31,188,78
Yago Henrique Severino dos Santos,Al Qadisiyah,Saudi Professional League,Brazil,23,179,86
Julián Fernández,CD Palestino,Campeonato Scotiabank,Argentina,23,177,72
Jeremías Ledesma,Rosario Central,SAF,Argentina,25,185,83
Moussa Sao,Red Star FC,Dominos Ligue 2,France,28,186,74
Wilder Cartagena,Tiburones Rojos de Veracruz,LIGA Bancomer MX,Peru,24,180,72
Luiz Fernando da Silva Monte,Henan Jianye FC,CSL,Brazil,27,184,73
Jiajun Bai,Shanghai Greenland Shenhua FC,CSL,China PR,27,166,65
Xiang Ji,Jiangsu Suning FC,CSL,China PR,28,185,78
Nahuel Yeri,Club Atlético Aldosivi,SAF,Argentina,27,174,81
Andrija Novakovich,Fortuna Sittard,Eredivisie,United States,22,191,78
José Manuel da Silva Oliveira,Santa Clara,Liga NOS,Portugal,27,178,71
Wessel Dammers,Fortuna Sittard,Eredivisie,Holland,23,185,81
Fang Mei,Guangzhou Evergrande Taobao,CSL,China PR,28,187,78
Oscar Salinas,CD Everton de Viña del Mar,Campeonato Scotiabank,Chile,30,173,71
Davide Agazzi,Livorno,Calcio B,Italy,25,173,70
Sebastián Zúñiga,Curicó Unido,Campeonato Scotiabank,Chile,28,167,75
Chao He,Changchun Yatai FC,CSL,China PR,23,178,77
Dzenis Burnic,Borussia Dortmund,Bundesliga,Germany,20,181,70
Angel Gomes,Manchester United,Premier League,England,18,168,61
Pedro Chirivella Burgos,Liverpool,Premier League,Spain,21,178,66
Marcus Edwards,Tottenham Hotspur,Premier League,England,19,176,61
Antonio Donnarumma,Milan,Serie A TIM,Italy,28,192,96
Uygar Mert Zeybek,Fenerbahçe SK,Süper Lig,Turkey,23,178,72
Pablo Sisniega,Real Sociedad,LaLiga Santander,Mexico,23,192,79
Juan Berrocal González,Sevilla FC,LaLiga Santander,Spain,18,184,72
José Alonso Lara,Sevilla FC,LaLiga Santander,Spain,18,167,60
Miguel Juan Llambrich,Villarreal CF,LaLiga Santander,Spain,22,175,70
Carlos Blanco Moreno,Villarreal CF,LaLiga Santander,Spain,22,188,70
Loïc Badiashile,AS Monaco Football Club SA,Ligue 1 Conforama,France,20,186,80
Seydou Sy,AS Monaco Football Club SA,Ligue 1 Conforama,Senegal,22,192,80
Gregor Kobel,TSG 1899 Hoffenheim,Bundesliga,Switzerland,20,194,90
Sam McQueen,Southampton,Premier League,England,23,181,70
Pavao Pervan,VfL Wolfsburg,Bundesliga,Austria,30,194,92
Hamza Mendyl,FC Schalke 04,Bundesliga,Morocco,20,179,73
Wilfrid Kaptoum,Real Betis,LaLiga Santander,Cameroon,22,170,72
Tyrone Mears,West Bromwich Albion,EFL Championship,England,35,180,74
Jonathan Leko,West Bromwich Albion,EFL Championship,England,19,182,64
Joel Asoro,Swansea City,EFL Championship,Sweden,19,175,75
Gautier Lloris,OGC Nice,Ligue 1 Conforama,France,23,191,83
Jack Harper,Málaga CF,LaLiga 1 I 2 I 3,Scotland,22,185,75
Andrés Tomás Prieto Albert,Málaga CF,LaLiga 1 I 2 I 3,Spain,24,194,91
Ryan Inniss,Crystal Palace,Premier League,England,23,196,84
Alberto Acosta,Tigres U.A.N.L.,LIGA Bancomer MX,Mexico,30,169,71
Johannes Eggestein,SV Werder Bremen,Bundesliga,Germany,20,183,75
Ole Käuper,SV Werder Bremen,Bundesliga,Germany,21,187,77
Ramon Pascal Lundqvist,PSV,Eredivisie,Sweden,21,178,74
Luis Sinisterra,Feyenoord,Eredivisie,Colombia,19,177,70
Timur Zhamaletdinov,CSKA Moscow,League of Russia,Russia,21,181,73
Dmitriy Efremov,CSKA Moscow,League of Russia,Russia,23,180,70
Bakery Jatta,Hamburger SV,Bundesliga 2,Gambia,20,184,79
Dmitriy Barinov,Lokomotiv Moscow,League of Russia,Russia,22,179,72
Ivan Lapshov,Lokomotiv Moscow,League of Russia,Russia,19,188,76
Gabriele Rolando,Sampdoria,Serie A TIM,Italy,23,182,71
Svante Ingelsson,Udinese,Serie A TIM,Sweden,20,189,83
Mamadou Coulibaly,Udinese,Serie A TIM,Senegal,19,183,77
Marco Richter,FC Augsburg,Bundesliga,Germany,20,176,74
Anthony Walongwa,FC Nantes,Ligue 1 Conforama,Congo,24,182,81
Enock Kwateng,FC Nantes,Ligue 1 Conforama,France,21,181,75
Arnaud Nordin,AS Saint-Étienne,Ligue 1 Conforama,France,20,170,66
Gabriel Rojas,San Lorenzo de Almagro,SAF,Argentina,21,172,68
Timo Hübers,Hannover 96,Bundesliga,Germany,22,190,82
Rafik Guitane,Stade Rennais FC,Ligue 1 Conforama,France,19,164,60
Musa Nizam,Antalyaspor,Süper Lig,Turkey,28,182,74
Edson Reséndez,Monterrey,LIGA Bancomer MX,Mexico,22,185,72
Charalampos Lykogiannis,Cagliari,Serie A TIM,Greece,24,186,78
Ethan Ebanks-Landell,Wolverhampton Wanderers,Premier League,England,25,188,88
Bright Enobakhare,Wolverhampton Wanderers,Premier League,Nigeria,20,179,77
Rúben Nascimento Vinagre,Wolverhampton Wanderers,Premier League,Portugal,19,174,64
Will Norris,Wolverhampton Wanderers,Premier League,England,25,191,81
Joe Mason,Wolverhampton Wanderers,Premier League,Republic of Ireland,27,178,73
Paul Gladon,Wolverhampton Wanderers,Premier League,Holland,26,188,83
Yannick Thoelen,KAA Gent,Belgium Pro League,Belgium,28,188,89
Will Keane,Hull City,EFL Championship,England,25,187,72
Reece Burke,Hull City,EFL Championship,England,22,189,81
George Long,Hull City,EFL Championship,England,24,193,94
Osvaldo Rodríguez,Club León,LIGA Bancomer MX,Mexico,22,175,73
Alec Kann,Atlanta United,Major League Soccer,United States,28,193,86
Hervé Koffi,LOSC Lille,Ligue 1 Conforama,Burkina Faso,21,186,81
Gabriel dos S. Magalhães,LOSC Lille,Ligue 1 Conforama,Brazil,20,190,78
Harry Shipp,Seattle Sounders FC,Major League Soccer,United States,26,175,66
Mohammed Al Shalhoub,Al Hilal,Saudi Professional League,Saudi Arabia,37,163,66
Carlos Rivas,Atlético Nacional,Liga Dimayor,Colombia,24,173,91
João Pedro Almeida Machado,LA Galaxy,Major League Soccer,Portugal,25,175,69
Daniel Steres,LA Galaxy,Major League Soccer,United States,27,183,77
Miguel Olavide Montes,CA Osasuna,LaLiga 1 I 2 I 3,Spain,22,178,70
Saeed Al Mowalad,Al Ahli,Saudi Professional League,Saudi Arabia,27,184,79
Chris Maguire,Sunderland,EFL League One,Scotland,29,170,68
Tom Flanagan,Sunderland,EFL League One,Northern Ireland,26,188,76
Jack Baldwin,Sunderland,EFL League One,England,25,185,70
Patrick Joosten,FC Utrecht,Eredivisie,Holland,22,180,66
Sékou Baradji,Amiens SC,Ligue 1 Conforama,France,34,185,77
Jordan Lefort,Amiens SC,Ligue 1 Conforama,France,25,184,83
Alejandro Pozo Pozo,Granada CF,LaLiga 1 I 2 I 3,Spain,19,173,62
Bailey Peacock-Farrell,Leeds United,EFL Championship,Northern Ireland,21,192,73
Dairon Asprilla,Portland Timbers,Major League Soccer,Colombia,26,180,75
Lawrence Olum,Portland Timbers,Major League Soccer,Kenya,34,188,83
Zarek Valentin,Portland Timbers,Major League Soccer,United States,27,183,73
Jake Gleeson,Portland Timbers,Major League Soccer,New Zealand,28,191,91
Agyemang Diawusie,FC Ingolstadt 04,Bundesliga 2,Germany,20,180,75
Benedikt Gimber,FC Ingolstadt 04,Bundesliga 2,Germany,21,185,83
Edison Flores,Monarcas Morelia,LIGA Bancomer MX,Peru,24,170,68
Daniel Lovitz,Impact Montréal,Major League Soccer,United States,27,178,75
Bogdan Vatajelu,Sparta Praha,?eská Liga,Romania,25,171,70
Luká Vácha,Sparta Praha,?eská Liga,Czech Republic,29,175,72
Benjamin Tetteh,Sparta Praha,?eská Liga,Ghana,21,193,92
Mike Grella,Columbus Crew SC,Major League Soccer,United States,31,180,77
Eliseu Mendja Soares Cassamá,Rio Ave FC,Liga NOS,Guinea-Bissau,24,184,74
Jonathan Buatu Mananga,Rio Ave FC,Liga NOS,Angola,25,187,87
Alan Mendoza,U.N.A.M.,LIGA Bancomer MX,Mexico,25,173,77
Facundo Altamirano,Club Atlético Banfield,SAF,Argentina,22,186,85
Adrián Calello,Club Atlético Banfield,SAF,Argentina,31,178,71
Dennis Srbeny,Norwich City,EFL Championship,Germany,24,190,83
Ben Godfrey,Norwich City,EFL Championship,England,20,183,74
Carlton Morris,Norwich City,EFL Championship,England,22,185,85
Jamal Lewis,Norwich City,EFL Championship,Northern Ireland,20,178,70
Joe Wildsmith,Sheffield Wednesday,EFL Championship,England,22,183,65
Liam Palmer,Sheffield Wednesday,EFL Championship,Scotland,27,188,81
Omar Bogle,Birmingham City,EFL Championship,England,25,191,80
Lee Camp,Birmingham City,EFL Championship,Northern Ireland,34,183,74
Viv Solomon-Otabor,Birmingham City,EFL Championship,Nigeria,22,175,77
Glynor Plet,Alanyaspor,Süper Lig,Holland,31,194,84
Ufuk Ceylan,Alanyaspor,Süper Lig,Turkey,32,194,85
Nikos Vergos,Panathinaikos FC,Hellas Liga,Greece,22,183,77
